title,authors,year,conference,link
Explaining in Style: Training a GAN to explain a classifier in StyleSpace.,"['Oran Lang', 'Yossi Gandelsman', 'Michal Yarom', 'Yoav Wald', 'Gal Elidan', 'Avinatan Hassidim', 'William T. Freeman', 'Phillip Isola', 'Amir Globerson', 'Michal Irani', 'Inbar Mosseri']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00073
Ground-truth or DAER: Selective Re-query of Secondary Information.,"['Stephan J. Lemmer', 'Jason J. Corso']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00074
Parametric Contrastive Learning.,"['Jiequan Cui', 'Zhisheng Zhong', 'Shu Liu', 'Bei Yu', 'Jiaya Jia']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00075
Learning Fast Sample Re-weighting Without Reward Data.,"['Zizhao Zhang', 'Tomas Pfister']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00076
Influence-Balanced Loss for Imbalanced Visual Classification.,"['Seulki Park', 'Jongin Lim', 'Younghan Jeon', 'Jin Young Choi']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00077
Statistically Consistent Saliency Estimation.,"['Shunyan Luo', 'Emre Barut', 'Fang Jin']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00078
Contrastive Multimodal Fusion with TupleInfoNCE.,"['Yunze Liu', 'Qingnan Fan', 'Shanghang Zhang', 'Hao Dong', 'Thomas A. Funkhouser', 'Li Yi']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00079
Recursively Conditional Gaussian for Ordinal Unsupervised Domain Adaptation.,"['Xiaofeng Liu', 'Site Li', 'Yubin Ge', 'Pengyi Ye', 'Jane You', 'Jun Lu']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00080
TrivialAugment: Tuning-free Yet State-of-the-Art Data Augmentation.,"['Samuel G. Müller', 'Frank Hutter']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00081
FcaNet: Frequency Channel Attention Networks.,"['Zequn Qin', 'Pengyi Zhang', 'Fei Wu', 'Xi Li']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00082
"Global Pooling, More than Meets the Eye: Position Information is Encoded Channel-Wise in CNNs.","['Md. Amirul Islam', 'Matthew Kowal', 'Sen Jia', 'Konstantinos G. Derpanis', 'Neil D. B. Bruce']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00083
Neural Video Portrait Relighting in Real-time via Consistency Modeling.,"['Longwen Zhang', 'Qixuan Zhang', 'Minye Wu', 'Jingyi Yu', 'Lan Xu']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00084
OpenGAN: Open-Set Recognition via Open Data Generation.,"['Shu Kong', 'Deva Ramanan']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00085
MixMo: Mixing Multiple Inputs for Multiple Outputs via Deep Subnetworks.,"['Alexandre Ramé', 'Rémy Sun', 'Matthieu Cord']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00086
Learning to Diversify for Single Domain Generalization.,"['Zijian Wang', 'Yadan Luo', 'Ruihong Qiu', 'Zi Huang', 'Mahsa Baktashmotlagh']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00087
SS-IL: Separated Softmax for Incremental Learning.,"['Hongjoon Ahn', 'Jihwan Kwak', 'Subin Lim', 'Hyeonsu Bang', 'Hyojun Kim', 'Taesup Moon']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00088
Multimodal Knowledge Expansion.,"['Zihui Xue', 'Sucheng Ren', 'Zhengqi Gao', 'Hang Zhao']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00089
FaPN: Feature-aligned Pyramid Network for Dense Image Prediction.,"['Shihua Huang', 'Zhichao Lu', 'Ran Cheng', 'Cheng He']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00090
Grafit: Learning fine-grained image representations with coarse labels.,"['Hugo Touvron', 'Alexandre Sablayrolles', 'Matthijs Douze', 'Matthieu Cord', 'Hervé Jégou']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00091
Attentional Pyramid Pooling of Salient Visual Residuals for Place Recognition.,"['Guohao Peng', 'Jun Zhang', 'Heshan Li', 'Danwei Wang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00092
Interpretable Image Recognition by Constructing Transparent Embedding Space.,"['Jiaqi Wang', 'Huafeng Liu', 'Xinyue Wang', 'Liping Jing']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00093
Generating Attribution Maps with Disentangled Masked Backpropagation.,"['Adria Ruiz', 'Antonio Agudo', 'Francesc Moreno-Noguer']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00094
Walk in the Cloud: Learning Curves for Point Clouds Shape Analysis.,"['Tiange Xiang', 'Chaoyi Zhang', 'Yang Song', 'Jianhui Yu', 'Weidong Cai']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00095
End-to-End Trainable Trident Person Search Network Using Adaptive Gradient Propagation.,"['Byeong-Ju Han', 'Kuhyeun Ko', 'Jae-Young Sim']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00096
