title,authors,year,conference,link
HDFormer: High-order Directed Transformer for 3D Human Pose Estimation.,"['Han-Yuan Chen', 'Jun-Yan He', 'Wangmeng Xiang', 'Zhi-Qi Cheng', 'Wei Liu', 'Hanbing Liu', 'Bin Luo', 'Yifeng Geng', 'Xuansong Xie']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/65
Fluid Dynamics-Inspired Network for Infrared Small Target Detection.,"['Tianxiang Chen', 'Qi Chu', 'Bin Liu', 'Nenghai Yu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/66
CostFormer: Cost Transformer for Cost Aggregation in Multi-view Stereo.,"['Weitao Chen', 'Hongbin Xu', 'Zhipeng Zhou', 'Yang Liu', 'Baigui Sun', 'Wenxiong Kang', 'Xuansong Xie']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/67
Self-Supervised Neuron Segmentation with Multi-Agent Reinforcement Learning.,"['Yinda Chen', 'Wei Huang', 'Shenglong Zhou', 'Qi Chen', 'Zhiwei Xiong']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/68
Null-Space Diffusion Sampling for Zero-Shot Point Cloud Completion.,"['Xinhua Cheng', 'Nan Zhang', 'Jiwen Yu', 'Yinhuai Wang', 'Ge Li', 'Jian Zhang']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/69
Robust Image Ordinal Regression with Controllable Image Generation.,"['Yi Cheng', 'Haochao Ying', 'Renjun Hu', 'Jinhong Wang', 'Wenhao Zheng', 'Xiao Zhang', 'Danny Z. Chen', 'Jian Wu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/70
WiCo: Win-win Cooperation of Bottom-up and Top-down Referring Image Segmentation.,"['Zesen Cheng', 'Peng Jin', 'Hao Li', 'Kehan Li', 'Siheng Li', 'Xiangyang Ji', 'Chang Liu', 'Jie Chen']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/71
Strip Attention for Image Restoration.,"['Yuning Cui', 'Yi Tao', 'Luoxi Jing', 'Alois Knoll']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/72
RZCR: Zero-shot Character Recognition via Radical-based Reasoning.,"['Xiaolei Diao', 'Daqian Shi', 'Hao Tang', 'Qiang Shen', 'Yanzeng Li', 'Lei Wu', 'Hao Xu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/73
Decoupling with Entropy-based Equalization for Semi-Supervised Semantic Segmentation.,"['Chuanghao Ding', 'Jianrong Zhang', 'Henghui Ding', 'Hongwei Zhao', 'Zhihui Wang', 'Tengfei Xing', 'Runbo Hu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/74
ICDA: Illumination-Coupled Domain Adaptation Framework for Unsupervised Nighttime Semantic Segmentation.,"['Chenghao Dong', 'Xuejing Kang', 'Anlong Ming']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/75
DFVSR: Directional Frequency Video Super-Resolution via Asymmetric and Enhancement Alignment Network.,"['Shuting Dong', 'Feng Lu', 'Zhe Wu', 'Chun Yuan']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/76
Timestamp-Supervised Action Segmentation from the Perspective of Clustering.,"['Dazhao Du', 'Enhan Li', 'Lingyu Si', 'Fanjiang Xu', 'Fuchun Sun']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/77
LION: Label Disambiguation for Semi-supervised Facial Expression Recognition with Progressive Negative Learning.,"['Zhongjing Du', 'Xu Jiang', 'Peng Wang', 'Qizheng Zhou', 'Xi Wu', 'Jiliu Zhou', 'Yan Wang']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/78
Improve Video Representation with Temporal Adversarial Augmentation.,"['Jinhao Duan', 'Quanfu Fan', 'Hao Cheng', 'Xiaoshuang Shi', 'Kaidi Xu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/79
RFENet: Towards Reciprocal Feature Evolution for Glass Segmentation.,"['Ke Fan', 'Changan Wang', 'Yabiao Wang', 'Chengjie Wang', 'Ran Yi', 'Lizhuang Ma']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/80
Reconstruction-Aware Prior Distillation for Semi-supervised Point Cloud Completion.,"['Zhaoxin Fan', 'Yulin He', 'Zhicheng Wang', 'Kejian Wu', 'Hongyan Liu', 'Jun He']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/81
